TransferWise ID,Date,Amount,Currency,Description,Payment Reference,Running Balance,Exchange From,Exchange To,Exchange Rate,Payer Name,Payee Name,Payee Account Number,Merchant,Card Last Four Digits,Card Holder Full Name,Attachment,Note,Total fees,Exchange To Amount
TW123456817,2025-03-15 08:50:00,-70.00,USD,Health & Beauty,REF-016,4414.50,,,,,,,Beauty Shop,1234,John Smith,,,0.00,
TW123456818,2025-03-18 13:25:00,125.00,USD,Gift Card Cashout,GIFT-CASHOUT,4539.50,,,,,Gift Card Company,John Smith,US1234567890,,,,Unused gift card conversion,0.00,
TW123456819,2025-03-20 17:40:00,-110.00,USD,Travel Expenses,REF-017,4429.50,,,,,,,Airport Parking,1234,John Smith,,,0.00,
TW123456820,2025-03-25 10:15:00,-85.00,USD,Office Supplies,REF-018,4344.50,,,,,,,Staples Store,1234,John Smith,,,0.00,
TW123456821,2025-03-28 14:30:00,250.00,USD,Freelance Payment,PROJ-2025-002,4594.50,,,,,Design Agency,John Smith,US1234567890,,,,Logo design project,5.00,
TW123456822,2025-04-01 11:45:00,500.00,USD,Salary Transfer,SAL-2025-004,5094.50,,,,,John Smith,Jane Doe,US1234567890,,,,Monthly salary payment,0.00,
TW123456823,2025-04-05 15:20:00,-135.00,USD,Insurance Payment,INS-APR,4959.50,,,,,,,Insurance Company,1234,John Smith,,,0.00,
TW123456824,2025-04-08 09:35:00,-65.00,USD,Charity Donation,DONATION-001,4894.50,,,,,,,Local Food Bank,1234,John Smith,,,0.00,
TW123456825,2025-04-12 12:50:00,180.00,USD,Survey Payments,SURVEY-Q1,5074.50,,,,,Research Company,John Smith,US1234567890,,,,Online survey compensation,0.00,
TW123456826,2025-04-15 16:25:00,-95.00,USD,Garden Supplies,REF-019,4979.50,,,,,,,Garden Center,1234,John Smith,,,0.00,
TW123456827,2025-04-18 08:40:00,-175.00,USD,Professional Services,REF-020,4804.50,,,,,,,Legal Consultation,1234,John Smith,,,0.00,
TW123456828,2025-04-22 13:15:00,400.00,USD,Investment Return,INV-DIVIDEND,5204.50,,,,,Investment Firm,John Smith,US1234567890,,,,Quarterly dividend payment,0.00,
TW123456829,2025-04-25 17:30:00,-120.00,USD,Home Repair,REF-021,5084.50,,,,,,,Hardware Store,1234,John Smith,,,0.00,
TW123456830,2025-04-30 10:45:00,-55.00,USD,Monthly Subscription,SUB-APR,5029.50,,,,,,,Software License,1234,John Smith,,,0.00,
TW123456831,2025-06-02 14:20:00,500.00,USD,Salary Transfer,SAL-2025-006,5529.50,,,,,John Smith,Jane Doe,US1234567890,,,,Monthly salary payment,0.00,
